location,lat,long,category,time,time_classification,date,description,reported
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,reckless driving,07:07,morning,2024-10-02,Mimi binafsi niliona jinsi watu walipiga kelele wakitaka msaada huku kuna mtu alichukua picha kwa kutumia simu.,no
Juja Stage,-1.099,37.02,domestic violence,07:14,morning,2024-06-16,Nilishuhudia tukio hilo ambapo hakuna aliyekuwa tayari kuingilia kati wakati walionekana wakitumia panga na silaha nyingine.,no
Juja Market,-1.096,37.0175,assault,22:36,night,2024-12-14,Mimi binafsi niliona jinsi mhalifu alikimbia mara moja baada ya tukio walionekana wakitumia panga na silaha nyingine.,no
JKUAT hostels area,-1.09,37.012,kidnapping,01:41,night,2025-06-02,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio kuna mtu alichukua picha kwa kutumia simu.",no
Juja City Mall,-1.095,37.0165,burglary,12:41,afternoon,2024-11-18,Kwa macho yangu mwenyewe niliona kwamba hakuna aliyekuwa tayari kuingilia kati wakati tukio lilivutia watu wengi waliokuwa wakipita.,no
Juja Market,-1.096,37.0175,phone snatching,18:35,evening,2024-10-05,Nilishuhudia tukio hilo ambapo watu walipiga kelele wakitaka msaada huku tukio lilivutia watu wengi waliokuwa wakipita.,no
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,kidnapping,02:08,night,2025-05-03,"Wakati nilipokuwa karibu, niliona jinsi watu walipiga kelele wakitaka msaada huku polisi walifika baada ya dakika kadhaa.",yes
Highpoint,-1.1,37.015,fraud,22:51,night,2025-04-17,Mimi binafsi niliona jinsi watu walipiga kelele wakitaka msaada huku tukio lilivutia watu wengi waliokuwa wakipita.,no
Juja Square,-1.098,37.019,reckless driving,15:45,afternoon,2024-06-07,"Nilipokuwa karibu na eneo hilo, niliona kuwa watu walipiga kelele wakitaka msaada huku tukio lilivutia watu wengi waliokuwa wakipita.",yes
Cherry Park,-1.0948,37.0106,robbery,00:57,night,2024-11-09,"Nilipokuwa karibu na eneo hilo, niliona kuwa watu walipiga kelele wakitaka msaada huku tukio lilivutia watu wengi waliokuwa wakipita.",no
Juja Market,-1.096,37.0175,armed robbery,04:29,night,2025-01-29,Mimi binafsi niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati walionekana wakitumia panga na silaha nyingine.,yes
JKUAT Main Gate,-1.0925,37.011,traffic violations,07:29,morning,2025-03-14,"Nilipokuwa karibu na eneo hilo, niliona kuwa watu walipiga kelele wakitaka msaada huku kulikuwa na vilio na machafuko makubwa.",yes
Gate C,-1.0922,37.0131,murder,06:48,morning,2024-10-19,Mimi binafsi niliona jinsi majirani walijaribu kuingilia kati lakini kulikuwa na vilio na machafuko makubwa.,no
Juja Square,-1.098,37.019,reckless driving,22:24,night,2025-01-25,"Nilipokuwa karibu na eneo hilo, niliona kuwa hakuna aliyekuwa tayari kuingilia kati wakati tukio lilivutia watu wengi waliokuwa wakipita.",no
JKUAT Main Gate,-1.0925,37.011,traffic violations,23:06,night,2024-11-07,Kwa macho yangu mwenyewe niliona kwamba mtuhumiwa alikimbilia upande wa polisi walifika baada ya dakika kadhaa.,no
Juja Square,-1.098,37.019,armed robbery,16:29,afternoon,2024-08-13,Kwa macho yangu mwenyewe niliona kwamba majirani walijaribu kuingilia kati lakini polisi walifika baada ya dakika kadhaa.,yes
Cherry Park,-1.0948,37.0106,assault,17:53,evening,2025-06-14,Mimi binafsi niliona jinsi mhalifu alikimbia mara moja baada ya tukio polisi walifika baada ya dakika kadhaa.,yes
Juja Police Station,-1.0915,37.014,drug trafficking,11:41,morning,2025-02-20,Nilishuhudia tukio hilo ambapo mtuhumiwa alikimbilia upande wa kulikuwa na vilio na machafuko makubwa.,no
Cherry Park,-1.0948,37.0106,robbery,20:44,evening,2025-02-20,"Nilipokuwa karibu na eneo hilo, niliona kuwa hakuna aliyekuwa tayari kuingilia kati wakati kuna mtu alichukua picha kwa kutumia simu.",no
Highpoint,-1.1,37.015,sexual harrasment,19:28,evening,2025-06-16,Nilishuhudia tukio hilo ambapo mtuhumiwa alikimbilia upande wa kulikuwa na vilio na machafuko makubwa.,no
Cherry Park,-1.0948,37.0106,kidnapping,23:17,night,2025-04-07,Kwa macho yangu mwenyewe niliona kwamba watu walipiga kelele wakitaka msaada huku tukio lilivutia watu wengi waliokuwa wakipita.,yes
Juja Market,-1.096,37.0175,burglary,20:11,evening,2024-05-06,Nilishuhudia tukio hilo ambapo mhalifu alikimbia mara moja baada ya tukio kuna mtu alichukua picha kwa kutumia simu.,no
Juja Square,-1.098,37.019,murder,18:05,evening,2025-07-11,Nilishuhudia tukio hilo ambapo mhalifu alikimbia mara moja baada ya tukio kuna mtu alichukua picha kwa kutumia simu.,yes
Juja Stage,-1.099,37.02,drug trafficking,16:19,afternoon,2024-09-16,Mimi binafsi niliona jinsi majirani walijaribu kuingilia kati lakini kuna mtu alichukua picha kwa kutumia simu.,yes
JKUAT Hospital,-1.0905,37.0119,drug possession,04:29,night,2024-05-10,Mimi binafsi niliona jinsi mhalifu alikimbia mara moja baada ya tukio walionekana wakitumia panga na silaha nyingine.,yes
JKUAT Hospital,-1.0922,37.0131,drug possession,10:16,morning,2024-12-15,Nilishuhudia tukio hilo ambapo hakuna aliyekuwa tayari kuingilia kati wakati kulikuwa na vilio na machafuko makubwa.,yes
JKUAT hostels area,-1.09,37.012,armed robbery,02:59,night,2024-10-06,Mimi binafsi niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati kulikuwa na vilio na machafuko makubwa.,yes
Cherry Park,-1.0948,37.0106,burglary,12:16,afternoon,2024-05-08,Nilishuhudia tukio hilo ambapo mtuhumiwa alikimbilia upande wa kulikuwa na vilio na machafuko makubwa.,yes
Gachororo,-1.0905,37.0119,sexual harrasment,02:34,night,2025-03-19,"Wakati nilipokuwa karibu, niliona jinsi majirani walijaribu kuingilia kati lakini kulikuwa na vilio na machafuko makubwa.",yes
Juja City Mall,-1.095,37.0165,domestic violence,17:05,evening,2025-06-14,"Nilipokuwa karibu na eneo hilo, niliona kuwa mtuhumiwa alikimbilia upande wa kuna mtu alichukua picha kwa kutumia simu.",no
Juja Market,-1.096,37.0175,drug possession,23:27,night,2024-06-21,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio polisi walifika baada ya dakika kadhaa.",yes
Juja Square,-1.098,37.019,murder,16:52,afternoon,2025-03-21,"Wakati nilipokuwa karibu, niliona jinsi majirani walijaribu kuingilia kati lakini walionekana wakitumia panga na silaha nyingine.",no
Cherry Park,-1.0948,37.0106,burglary,10:06,morning,2025-03-03,"Wakati nilipokuwa karibu, niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati kuna mtu alichukua picha kwa kutumia simu.",no
Juja Stage,-1.099,37.02,phone snatching,16:32,afternoon,2025-01-01,Mimi binafsi niliona jinsi watu walipiga kelele wakitaka msaada huku polisi walifika baada ya dakika kadhaa.,no
Juja Market,-1.096,37.0175,drug possession,02:22,night,2025-04-15,Mimi binafsi niliona jinsi mhalifu alikimbia mara moja baada ya tukio kulikuwa na vilio na machafuko makubwa.,yes
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,fraud,15:43,afternoon,2025-07-10,Nilishuhudia tukio hilo ambapo mtuhumiwa alikimbilia upande wa walionekana wakitumia panga na silaha nyingine.,yes
JKUAT Main Gate,-1.0925,37.011,drug trafficking,20:06,evening,2025-05-27,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio tukio lilivutia watu wengi waliokuwa wakipita.",yes
Gachororo,-1.0905,37.0119,murder,10:17,morning,2024-10-31,Kwa macho yangu mwenyewe niliona kwamba majirani walijaribu kuingilia kati lakini tukio lilivutia watu wengi waliokuwa wakipita.,yes
Gate C,-1.0922,37.0131,kidnapping,01:19,night,2025-02-02,Nilishuhudia tukio hilo ambapo watu walipiga kelele wakitaka msaada huku tukio lilivutia watu wengi waliokuwa wakipita.,yes
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,traffic violations,13:35,afternoon,2025-03-21,"Nilipokuwa karibu na eneo hilo, niliona kuwa mtuhumiwa alikimbilia upande wa kuna mtu alichukua picha kwa kutumia simu.",yes
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,domestic violence,01:24,night,2025-04-17,Kwa macho yangu mwenyewe niliona kwamba watu walipiga kelele wakitaka msaada huku polisi walifika baada ya dakika kadhaa.,yes
Juja Stage,-1.099,37.02,domestic violence,13:50,afternoon,2024-06-10,Kwa macho yangu mwenyewe niliona kwamba majirani walijaribu kuingilia kati lakini tukio lilivutia watu wengi waliokuwa wakipita.,yes
Gate B,-1.0932,37.0125,traffic violations,11:53,morning,2024-09-06,Mimi binafsi niliona jinsi watu walipiga kelele wakitaka msaada huku tukio lilivutia watu wengi waliokuwa wakipita.,no
JKUAT Hospital,-1.0915,37.014,drug trafficking,11:41,morning,2025-02-20,Nilishuhudia tukio hilo ambapo mtuhumiwa alikimbilia upande wa kulikuwa na vilio na machafuko makubwa.,no
Gate C,-1.0922,37.0131,traffic violations,08:55,morning,2025-01-01,Mimi binafsi niliona jinsi mtuhumiwa alikimbilia upande wa kulikuwa na vilio na machafuko makubwa.,yes
JKUAT Enterprises LTD.,-1.0915,37.014,armed robbery,04:40,night,2024-06-11,Nilishuhudia tukio hilo ambapo majirani walijaribu kuingilia kati lakini kuna mtu alichukua picha kwa kutumia simu.,no
Gachororo,-1.0905,37.0119,burglary,09:24,morning,2025-03-31,"Wakati nilipokuwa karibu, niliona jinsi watu walipiga kelele wakitaka msaada huku walionekana wakitumia panga na silaha nyingine.",yes
JKUAT Enterprises LTD.,-1.0915,37.014,assault,04:59,night,2024-10-23,Nilishuhudia tukio hilo ambapo mtuhumiwa alikimbilia upande wa kuna mtu alichukua picha kwa kutumia simu.,yes
JKUAT Hospital,-1.1,37.015,drug possession,18:56,evening,2024-06-27,Mimi binafsi niliona jinsi watu walipiga kelele wakitaka msaada huku tukio lilivutia watu wengi waliokuwa wakipita.,yes
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,reckless driving,06:24,morning,2024-06-15,"Nilipokuwa karibu na eneo hilo, niliona kuwa hakuna aliyekuwa tayari kuingilia kati wakati kulikuwa na vilio na machafuko makubwa.",yes
Juja Stage,-1.099,37.02,battery,05:05,night,2025-03-13,Mimi binafsi niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati kuna mtu alichukua picha kwa kutumia simu.,no
JKUAT Hospital,-1.098,37.019,drug possession,06:00,morning,2024-12-06,Mimi binafsi niliona jinsi watu walipiga kelele wakitaka msaada huku kuna mtu alichukua picha kwa kutumia simu.,yes
JKUAT Main Gate,-1.0925,37.011,fraud,21:42,night,2024-11-17,"Wakati nilipokuwa karibu, niliona jinsi mhalifu alikimbia mara moja baada ya tukio kulikuwa na vilio na machafuko makubwa.",yes
Gachororo,-1.0905,37.0119,phone snatching,05:48,night,2024-08-15,Mimi binafsi niliona jinsi mhalifu alikimbia mara moja baada ya tukio kulikuwa na vilio na machafuko makubwa.,yes
Juja Market,-1.096,37.0175,armed robbery,08:31,morning,2025-05-06,"Wakati nilipokuwa karibu, niliona jinsi mtuhumiwa alikimbilia upande wa walionekana wakitumia panga na silaha nyingine.",yes
Juja Police Station,-1.099,37.02,drug trafficking,02:52,night,2024-12-21,Kwa macho yangu mwenyewe niliona kwamba hakuna aliyekuwa tayari kuingilia kati wakati kuna mtu alichukua picha kwa kutumia simu.,no
Gate B,-1.0932,37.0125,fraud,22:52,night,2024-07-29,Kwa macho yangu mwenyewe niliona kwamba hakuna aliyekuwa tayari kuingilia kati wakati tukio lilivutia watu wengi waliokuwa wakipita.,no
JKUAT Main Gate,-1.0925,37.011,armed robbery,07:21,morning,2024-07-31,"Nilipokuwa karibu na eneo hilo, niliona kuwa majirani walijaribu kuingilia kati lakini tukio lilivutia watu wengi waliokuwa wakipita.",no
Juja Market,-1.096,37.0175,domestic violence,01:43,night,2025-02-10,Nilishuhudia tukio hilo ambapo hakuna aliyekuwa tayari kuingilia kati wakati polisi walifika baada ya dakika kadhaa.,no
JKUAT Main Gate,-1.0925,37.011,fraud,09:06,morning,2024-11-27,Mimi binafsi niliona jinsi watu walipiga kelele wakitaka msaada huku walionekana wakitumia panga na silaha nyingine.,yes
Gate B,-1.0932,37.0125,reckless driving,15:37,afternoon,2024-05-08,Kwa macho yangu mwenyewe niliona kwamba hakuna aliyekuwa tayari kuingilia kati wakati kuna mtu alichukua picha kwa kutumia simu.,yes
JKUAT hostels area,-1.09,37.012,drug trafficking,02:13,night,2025-01-22,Nilishuhudia tukio hilo ambapo mtuhumiwa alikimbilia upande wa polisi walifika baada ya dakika kadhaa.,yes
JKUAT Main Gate,-1.0925,37.011,assault,22:38,night,2025-07-14,Nilishuhudia tukio hilo ambapo majirani walijaribu kuingilia kati lakini tukio lilivutia watu wengi waliokuwa wakipita.,no
Gachororo,-1.0905,37.0119,reckless driving,11:13,morning,2024-05-16,Nilishuhudia tukio hilo ambapo mhalifu alikimbia mara moja baada ya tukio kulikuwa na vilio na machafuko makubwa.,no
Gachororo,-1.0905,37.0119,murder,14:29,afternoon,2025-01-02,Nilishuhudia tukio hilo ambapo hakuna aliyekuwa tayari kuingilia kati wakati kuna mtu alichukua picha kwa kutumia simu.,yes
Cherry Park,-1.0948,37.0106,burglary,21:45,night,2025-02-22,Mimi binafsi niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati kuna mtu alichukua picha kwa kutumia simu.,no
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,drug possession,14:38,afternoon,2025-05-27,Kwa macho yangu mwenyewe niliona kwamba hakuna aliyekuwa tayari kuingilia kati wakati walionekana wakitumia panga na silaha nyingine.,yes
JKUAT Enterprises LTD.,-1.0915,37.014,drug possession,19:57,evening,2024-06-20,Mimi binafsi niliona jinsi mhalifu alikimbia mara moja baada ya tukio walionekana wakitumia panga na silaha nyingine.,yes
Highpoint,-1.1,37.015,drug possession,01:08,night,2024-05-14,"Wakati nilipokuwa karibu, niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati walionekana wakitumia panga na silaha nyingine.",yes
JKUAT Main Gate,-1.0925,37.011,armed robbery,17:48,evening,2025-02-16,Kwa macho yangu mwenyewe niliona kwamba hakuna aliyekuwa tayari kuingilia kati wakati walionekana wakitumia panga na silaha nyingine.,no
Gate B,-1.0932,37.0125,drug possession,07:40,morning,2024-06-10,"Wakati nilipokuwa karibu, niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati polisi walifika baada ya dakika kadhaa.",yes
Juja City Mall,-1.095,37.0165,assault,16:37,afternoon,2024-08-01,Nilishuhudia tukio hilo ambapo mtuhumiwa alikimbilia upande wa kuna mtu alichukua picha kwa kutumia simu.,no
JKUAT Main Gate,-1.0925,37.011,reckless driving,18:23,evening,2024-10-11,"Wakati nilipokuwa karibu, niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati polisi walifika baada ya dakika kadhaa.",yes
Juja Police Station,-1.0922,37.0131,assault,04:06,night,2024-11-23,Nilishuhudia tukio hilo ambapo mhalifu alikimbia mara moja baada ya tukio walionekana wakitumia panga na silaha nyingine.,yes
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,robbery,21:54,night,2025-06-05,"Nilipokuwa karibu na eneo hilo, niliona kuwa mtuhumiwa alikimbilia upande wa walionekana wakitumia panga na silaha nyingine.",yes
Juja Square,-1.098,37.019,murder,18:29,evening,2024-10-04,"Nilipokuwa karibu na eneo hilo, niliona kuwa mtuhumiwa alikimbilia upande wa polisi walifika baada ya dakika kadhaa.",yes
Juja Market,-1.096,37.0175,battery,22:37,night,2024-12-13,"Nilipokuwa karibu na eneo hilo, niliona kuwa watu walipiga kelele wakitaka msaada huku kulikuwa na vilio na machafuko makubwa.",yes
Gachororo,-1.0905,37.0119,reckless driving,05:45,night,2024-09-15,Mimi binafsi niliona jinsi mtuhumiwa alikimbilia upande wa tukio lilivutia watu wengi waliokuwa wakipita.,no
Gachororo,-1.0905,37.0119,armed robbery,12:27,afternoon,2024-11-10,Nilishuhudia tukio hilo ambapo mtuhumiwa alikimbilia upande wa tukio lilivutia watu wengi waliokuwa wakipita.,no
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,phone snatching,03:57,night,2025-05-03,"Nilipokuwa karibu na eneo hilo, niliona kuwa hakuna aliyekuwa tayari kuingilia kati wakati kulikuwa na vilio na machafuko makubwa.",no
Gate B,-1.0932,37.0125,robbery,17:25,evening,2025-02-14,Nilishuhudia tukio hilo ambapo majirani walijaribu kuingilia kati lakini polisi walifika baada ya dakika kadhaa.,no
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,murder,18:54,evening,2025-07-09,Nilishuhudia tukio hilo ambapo watu walipiga kelele wakitaka msaada huku kuna mtu alichukua picha kwa kutumia simu.,no
Juja Police Station,-1.09,37.012,assault,07:46,morning,2024-09-12,Nilishuhudia tukio hilo ambapo mtuhumiwa alikimbilia upande wa kulikuwa na vilio na machafuko makubwa.,yes
JKUAT Enterprises LTD.,-1.0915,37.014,fraud,06:05,morning,2025-03-05,Nilishuhudia tukio hilo ambapo mhalifu alikimbia mara moja baada ya tukio polisi walifika baada ya dakika kadhaa.,no
JKUAT Enterprises LTD.,-1.0915,37.014,drug trafficking,04:04,night,2024-05-10,Kwa macho yangu mwenyewe niliona kwamba mtuhumiwa alikimbilia upande wa polisi walifika baada ya dakika kadhaa.,no
JKUAT Main Gate,-1.0925,37.011,traffic violations,13:34,afternoon,2024-08-27,Nilishuhudia tukio hilo ambapo mhalifu alikimbia mara moja baada ya tukio kuna mtu alichukua picha kwa kutumia simu.,yes
Gachororo,-1.0905,37.0119,kidnapping,13:46,afternoon,2025-05-20,Mimi binafsi niliona jinsi majirani walijaribu kuingilia kati lakini kulikuwa na vilio na machafuko makubwa.,yes
Juja Square,-1.098,37.019,reckless driving,19:07,evening,2024-08-23,Mimi binafsi niliona jinsi mhalifu alikimbia mara moja baada ya tukio walionekana wakitumia panga na silaha nyingine.,no
